Year,Region,Vacant_Houses,Is_Capital,YoY_Growth
2015,강원,7010,비수도권,
2016,강원,7363,비수도권,5.0356633380884475
2017,강원,7621,비수도권,3.5040065190818925
2018,강원,8082,비수도권,6.049074924550579
2019,강원,8327,비수도권,3.0314278643900128
2020,강원,8737,비수도권,4.923742043953405
2021,강원,9098,비수도권,4.131853038800504
2022,강원,9299,비수도권,2.2092767641239908
2023,강원,9789,비수도권,5.2693838047101815
2024,강원,10500,비수도권,7.26325467361324
2015,경기,5223,수도권,
2016,경기,5298,수도권,1.4359563469270586
2017,경기,5380,수도권,1.5477538693846826
2018,경기,5638,수도권,4.795539033457241
2019,경기,5825,수도권,3.3167789996452646
2020,경기,6161,수도권,5.7682403433476415
2021,경기,6325,수도권,2.6619055348157783
2022,경기,6626,수도권,4.758893280632415
2023,경기,6673,수도권,0.709326894053719
2024,경기,6900,수도권,3.4017683200959103
2015,경남,8395,비수도권,
2016,경남,8874,비수도권,5.7057772483621205
2017,경남,9633,비수도권,8.55307640297498
2018,경남,10547,비수도권,9.488217585383584
2019,경남,10727,비수도권,1.7066464397458958
2020,경남,11704,비수도권,9.10785867437307
2021,경남,12509,비수도권,6.877990430622005
2022,경남,12888,비수도권,3.029818530657935
2023,경남,14111,비수도권,9.489447548106767
2024,경남,14800,비수도권,4.882715611933963
2015,경북,10642,비수도권,
2016,경북,11495,비수도권,8.015410637098297
2017,경북,12089,비수도권,5.167464114832532
2018,경북,12853,비수도권,6.319794854826699
2019,경북,13473,비수도권,4.823776550221748
2020,경북,14845,비수도권,10.183329622207381
2021,경북,15699,비수도권,5.752778713371498
2022,경북,16255,비수도권,3.5416268552137087
2023,경북,17542,비수도권,7.917563826514917
2024,경북,18920,비수도권,7.855432675863638
2015,광주,2909,비수도권,
2016,광주,2878,비수도권,-1.0656583018219368
2017,광주,3086,비수도권,7.22724113968034
2018,광주,3021,비수도권,-2.106286454957873
2019,광주,3149,비수도권,4.237007613373045
2020,광주,3137,비수도권,-0.38107335662115327
2021,광주,3232,비수도권,3.028371055148238
2022,광주,3294,비수도권,1.9183168316831756
2023,광주,3279,비수도권,-0.45537340619308253
2024,광주,3400,비수도권,3.6901494358035913
2015,대구,2996,비수도권,
2016,대구,3106,비수도권,3.6715620827770357
2017,대구,3205,비수도권,3.187379265936907
2018,대구,3311,비수도권,3.3073322932917426
2019,대구,3468,비수도권,4.741769858048928
2020,대구,3439,비수도권,-0.8362168396770508
